CLIENTE_CC,FECHA_INFORMACION,SALDO_AHORROS,SALDO_FONDOS    ,SALDO_CREDITO1 ,SALDO_CREDITO2,SALDO_TARJETA,MONTO_COMPRAS1,MONTO_CAJERO1,MONTO_COMPRAS2,MONTO_CAJERO2,MONTO_ABONOS_NOMINA,INDICADOR_MORA,SALDO_ACTIVO    ,SALDO_PASIVO
3,2017-07-01,3340,0,876047.06,0,0,0,0,0,0,0,0,87604706,3340
171,2017-05-01,1070130,0,7828500.12,0,0,0,0,0,460000,897220,0,782850012,107013318
313,2017-10-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
644,2017-05-01,2204.88,0,8863156.75,0,2153170,359023,0,8000,160000,748000,0,1101632989,220488
1445,2016-12-01,692926,0,0.00,0,0,0,0,0,0,606720,0,0,69292632
1835,2017-02-01,0,0,0.00,0,3719890,47094.3,0,0,0,0,0,371988943,0
2075,2017-03-01,11585,0,14139326.58,0,0,0,0,13060,940000,948266,0,1413932658,1158495
771,2017-06-01,1005450,0,0.00,0,2308040,0,0,0,0,0,0,230804253,100544518
622,2017-11-01,0,0,0.00,0,1648220,208450,400000,0,0,0,0,164822389,0
760,2017-05-01,437996,0,3690669.97,0,2682600,0,0,0,1200000,1186420,0,637326662,43799597
1113,2017-11-01,96987.3,0,0.00,0,0,0,0,52600,870000,1038930,0,0,9698726
2232,2016-12-01,0,0,0.00,0,892043,349000,0,0,0,0,0,89204339,0
756,2017-12-01,2781340,345595902,0.00,0,0,0,0,0,0,0,0,0,623730251
2492,2017-03-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
818,2017-10-01,47071,0,3799021.38,3043574.08,2501680,0,0,0,0,0,0,934427783,4707097
2147,2017-10-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
39,2016-12-01,350769,0,3496482.50,0,0,0,0,0,0,0,0,34964825,35076858
269,2017-03-01,225692,0,0.00,0,0,0,0,93795,2900000,3407330,0,0,225692
67,2017-04-01,62256.4,0,0.00,0,0,0,0,0,700000,693999,0,0,6225637
2107,2017-01-01,320256,0,0.00,0,1146360,0,20000,131000,1600000,1197110,0,114636257,32025587
189,2017-06-01,1777990,0,0.00,0,0,0,0,235000,280000,1469220,0,0,17779949
2194,2017-02-01,278638,0,0.00,0,0,0,0,0,1690000,999385,0,0,27863799
2341,2017-06-01,0,0,7110518.29,0,1711220,132162,0,0,0,0,0,882173581,0
332,2017-02-01,20184.6,0,5299386.72,0,0,0,0,0,0,0,0,529938672,201846
230,2017-10-01,38240,0,8207754.23,0,0,0,0,0,0,0,0,820775423,3823998
403,2017-10-01,179665,0,0.00,0,0,0,0,186000,890000,1090040,0,0,17966474
2263,2017-10-01,247230,0,5744604.57,0,238219,0,0,0,1100000,1446970,0,598282376,24722954
1839,2017-09-01,240944,0,14850179.65,0,2175570,1114000,110000,45740,740000,1378160,0,1702575211,24094433
361,2017-02-01,390535,0,49230.81,0,510412,313700,0,0,0,0,0,55964254,39053463
1192,2017-10-01,0,0,0.00,0,1996920,0,0,0,0,0,0,199691751,0
1206,2017-02-01,0,0,2200223.50,0,96810.5,714100,0,0,0,0,0,229703396,0
1997,2017-10-01,583010,0,0.00,0,0,0,0,474000,2460000,1801780,0,0,5830095
1488,2017-06-01,926.56,0,195982.92,0,531956,562700,90000,0,60000,0,0,72793928,92656
1019,2017-10-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
1092,2017-08-01,127857,0,6707775.91,0,809407,0,0,0,1110000,1125000,0,751718302,12785693
1976,2017-09-01,3473630,0,0.00,0,0,0,0,79135,1860000,1274920,0,0,347363013
871,2017-11-01,0,0,10611615.60,0,0,0,0,0,0,0,0,106116156,0
725,2017-05-01,88815.1,0,0.00,10962314.67,0,0,0,0,0,0,0,1096231467,8881505
1238,2017-04-01,582087,0,0.00,9393776.69,0,0,0,0,0,0,0,939377669,58208667
2069,2017-05-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
2001,2017-09-01,23559.4,0,0.00,0,0,0,0,0,0,0,0,0,235594
1895,2017-09-01,251507,0,0.00,0,0,0,0,100000,1200000,1326200,0,0,2515068
1389,2017-10-01,0,0,3420629.85,0,0,0,0,0,0,0,0,342062985,0
1701,2017-03-01,0,0,490343.96,0,0,0,0,0,0,0,0,49034396,0
1885,2017-02-01,0,0,7495967.14,0,1999320,20999,0,0,0,0,0,949528522,0
1003,2017-02-01,7.25,0,14019966.44,0,0,0,0,0,0,0,0,1401996644,725
1244,2017-05-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
615,2017-09-01,128209,0,0.00,0,519746,0,0,0,0,649117,0,51974624,12820886
160,2017-06-01,953811,0,0.00,0,0,0,0,1413950,2480000,3906550,0,0,9538112
251,2017-11-01,456991,0,0.00,0,1878680,46640,100000,4850,1380000,3595300,0,187868054,45699105
1543,2017-06-01,251551,0,0.00,0,0,0,0,0,500000,1276650,0,0,25155142
335,2017-09-01,7852050,0,0.00,0,0,0,0,0,0,0,0,0,78520451
1445,2017-03-01,335238,0,0.00,0,0,0,0,0,0,649117,0,0,33523832
2142,2017-09-01,0,420000000,0.00,0,0,0,0,0,0,0,0,0,4200000
16,2016-12-01,180285,0,0.00,0,0,0,0,0,1000000,1025970,0,0,18028484
213,2017-12-01,772413,0,0.00,0,1115680,698350,0,791217,360000,2883340,0,111568306,77241262
911,2016-12-01,63216.6,0,6210293.03,0,0,0,0,6100,1100000,418175,0,621029303,6321663
69,2017-08-01,80035.6,0,0.00,0,0,0,0,20319,1470000,1494450,0,0,8003558
331,2016-12-01,5424620,0,0.00,0,0,0,0,0,0,733697,0,0,542462224
902,2017-08-01,99626.8,0,0.00,0,0,0,0,0,0,1367440,0,0,9962675
1254,2017-12-01,42535.6,0,14952372.00,0,0,0,0,0,0,340571,0,14952372,4253557
2272,2017-08-01,358443,0,0.00,0,0,0,0,0,0,0,0,0,35844339
1660,2017-06-01,350894,0,0.00,0,0,0,0,0,0,3053290,0,0,35089387
1036,2017-06-01,229197,0,0.00,0,0,0,0,0,0,0,0,0,22919668
47,2017-02-01,4449060,0,0.00,0,0,0,0,0,2000000,1392070,0,0,444906329
289,2017-10-01,346777,0,9145949.39,0,0,0,0,0,500000,714885,0,914594939,34677713
614,2017-01-01,145978,0,0.00,0,0,0,0,0,0,1776170,0,0,14597803
337,2017-04-01,294896,0,0.00,0,0,0,0,725214,400000,1210610,0,0,29489649
1348,2016-12-01,3046830,0,0.00,0,0,0,0,0,0,0,0,0,304682642
1837,2017-01-01,137271,0,8645001.61,0,0,0,0,0,0,0,0,864500161,13727101
2479,2017-04-01,4226550,0,0.00,0,0,0,0,0,200000,0,0,0,42265512
194,2017-12-01,23434500,0,0.00,0,0,0,0,0,0,0,0,0,2343451553
1168,2017-02-01,24510.6,0,0.00,0,0,0,0,0,680000,552019,0,0,2451061
1595,2017-08-01,146980,0,0.00,0,524438,0,0,0,2120000,1574580,0,52443812,14697984
1822,2017-05-01,50188,0,5113557.49,0,0,0,0,0,0,0,0,511355749,50188
836,2017-01-01,3447370,0,0.00,0,0,0,0,0,0,0,0,0,344736813
2409,2016-12-01,7535.71,0,0.00,0,0,0,0,0,520000,0,0,0,753571
172,2016-12-01,343143,0,0.00,0,0,0,0,0,3460000,1420200,0,0,34314262
1263,2017-06-01,161460,0,0.00,0,0,0,0,15070,1300000,3315800,0,0,16145978
2092,2017-12-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
615,2017-12-01,709867,0,0.00,0,297339,0,0,0,0,649117,0,29733943,70986706
1302,2017-09-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
2020,2017-08-01,0,0,4519836.67,0,688253,0,0,0,0,0,0,520809002,0
2221,2017-02-01,0,0,0.00,0,1066540,1160000,0,0,0,0,0,10665358,0
1509,2017-07-01,192969,400000000,0.00,0,0,0,0,0,1940000,1959720,0,0,419296935
1180,2017-09-01,0,0,9650149.32,0,5922430,34500,160000,0,180000,0,0,155725757,0
1414,2017-02-01,0,0,9437430.00,0,0,0,0,0,0,0,0,9437430,0
509,2017-10-01,144732,0,0.00,0,0,0,0,0,1440000,1440610,0,0,14473205
1973,2017-10-01,426216,0,0.00,0,1161620,0,53000,198200,680000,1145370,0,116162381,42621564
1422,2017-10-01,75075.1,0,4738419.92,0,2165290,0,0,7000,1130000,1368980,0,690371291,7507509
362,2017-02-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
2327,2017-07-01,407073,0,0.00,0,0,0,0,49920,1280000,1585000,0,0,40707313
31,2017-10-01,1478370,0,0.00,0,0,0,0,0,0,0,0,0,147837154
115,2017-11-01,1185200,0,0.00,0,0,0,0,0,0,2109210,0,0,11851993
1311,2017-05-01,51833.8,0,14655956.77,0,0,0,0,0,0,0,0,1465595677,5183379
2055,2017-10-01,1441760,0,0.00,0,0,0,0,5100,3240000,1395130,0,0,144176255
2314,2017-12-01,0,0,2500177.50,0,0,0,0,0,0,0,0,25001775,0
921,2017-10-01,0,0,0.00,0,3409920,352010,300000,0,0,0,0,34099199,0
849,2017-09-01,0,0,0.00,0,1597160,0,0,0,0,0,0,15971626,0
1383,2017-01-01,14277.3,0,0.00,0,0,0,0,50000,1020000,1002840,0,0,1427726
2055,2017-08-01,1637000,0,0.00,0,0,0,0,0,0,1058460,0,0,163699574
1022,2017-07-01,0,0,0.00,2220603.75,0,0,0,0,0,0,0,222060375,0
1804,2016-12-01,4470260,0,0.00,0,0,0,0,0,0,0,0,0,447025729
421,2016-12-01,0,0,9494887.87,0,3332450,0,0,0,0,0,0,1282733922,0
2455,2017-12-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
1321,2017-07-01,315307,0,0.00,0,0,0,0,0,3810000,2705830,0,0,31530736
1763,2016-12-01,441631,0,0.00,0,0,0,0,0,0,615490,0,0,44163107
2333,2017-11-01,2110,0,0.00,0,0,0,0,0,0,0,0,0,2110
425,2017-02-01,131780,0,13768065.59,0,0,0,0,0,0,1229560,0,1376806559,13177993
670,2017-04-01,498402,0,0.00,0,0,0,0,0,0,0,0,0,49840151
2265,2017-11-01,2546140,0,0.00,0,0,0,0,19000,0,0,0,0,254614073
1004,2017-04-01,64190.5,0,0.00,0,0,0,0,0,1200000,1543510,0,0,6419053
1852,2017-10-01,1393,0,0.00,0,0,0,0,0,0,0,0,0,1393
2177,2017-02-01,753.17,0,16656788.40,0,0,0,0,0,0,0,0,166567884,75317
805,2017-04-01,416192,600000000,0.00,0,0,0,0,0,0,0,0,0,64161925
817,2017-01-01,3271660,0,0.00,0,0,0,0,0,0,0,0,0,327166352
1761,2017-02-01,7998.12,0,7036934.75,0,989795,0,0,0,690000,757021,0,802672928,799812
1292,2017-01-01,1610640,0,0.00,0,0,0,0,0,0,0,0,0,1610637
150,2017-09-01,8592050,0,0.00,0,0,0,0,0,0,0,0,0,859204507
2230,2017-01-01,0,0,2042852.81,0,0,0,0,0,0,0,0,204285281,0
1292,2017-04-01,1708260,0,0.00,0,0,0,0,0,0,0,0,0,170826047
1548,2017-10-01,47.39,0,8691177.55,0,0,0,0,0,0,0,0,869117755,4739
1611,2017-06-01,735783,0,0.00,0,0,0,0,0,20000,1446150,0,0,7357831
1882,2017-02-01,191639,0,0.00,0,0,0,0,0,1960000,989428,0,0,19163917
2003,2017-06-01,9629.6,0,8211592.60,0,0,0,0,0,0,0,0,82115926,96296
2109,2017-09-01,452385,0,0.00,0,3397810,81650,0,469888,920000,1226260,0,339780686,45238518
263,2017-01-01,245799,0,0.00,0,0,0,0,0,0,0,0,0,24579882
362,2017-07-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
358,2017-01-01,6743.41,0,0.00,0,0,0,0,14000,930000,1219010,0,0,674341
2390,2017-10-01,884.33,0,0.00,0,0,0,0,13000,660000,339480,0,0,88433
207,2017-06-01,0,0,0.00,0,588173,0,0,0,0,0,0,58817327,0
457,2016-12-01,0,0,6862919.42,0,0,0,0,0,0,0,0,686291942,0
477,2016-12-01,1874730,0,0.00,0,0,0,0,219817,1130000,3387350,0,0,187472676
1850,2017-05-01,2728980,0,0.00,0,0,0,0,0,1060000,1074210,0,0,272897959
2471,2017-02-01,0,0,0.00,0,940637,652597,0,0,0,0,0,94063714,0
128,2017-02-01,26173.2,0,0.00,0,0,0,0,0,0,708429,0,0,359040571
1101,2017-08-01,571927,0,0.00,0,0,0,0,604800,2250000,2257290,0,0,57192661
1105,2017-01-01,338819,0,0.00,0,0,0,0,0,2450000,1824890,0,0,33881879
338,2017-03-01,18686.4,0,0.00,0,0,0,0,22500,500000,523735,0,0,1868639
2220,2017-11-01,0,0,0.00,0,0,0,0,0,0,0,0,0,0
167,2016-12-01,1671870,0,0.00,0,47545.8,0,0,300000,3660000,1417690,0,4754581,167187013
858,2017-01-01,60448.8,0,8762259.13,0,586028,0,0,0,840000,928000,0,93482875,6044876
878,2017-06-01,307361,0,9778985.38,0,6576950,317381,160000,0,870000,2716100,0,1635593073,30736078
2352,2016-12-01,240265,0,0.00,0,0,0,0,0,0,0,0,0,24026532
1374,2017-01-01,29451.9,0,14153284.61,0,0,0,0,0,0,0,0,1415328461,294519
